Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Samoa,WSM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2205.60997655131,2201.39694115968,2217.15645170683,2293.28843436316,2411.07210879483,2416.35521288546,2375.51425925582,2454.80730640057,2333.76468229484,2263.27312295205,2238.36527844474,2307.32532277415,2227.60808351717,2357.15235800415,2509.7633685494,2512.48999530835,2556.01386662495,2600.23926861232,2766.53104153647,2942.41193933644,3052.56499842121,3171.00860587818,3296.90235240644,3412.02830379059,3456.82243616669,3651.35095100726,3663.27681608577,3462.60922404191,3453.43429763501,3624.57290241731,3609.73711936851,3510.92488288331,3524.59564866734,3555.05603271721,3782.40485346283,3851.01196654314
Samoa,WSM,"Population, total",SP.POP.TOTL,108646,112119,115788,119561,123354,127068,130688,134193,137506,140518,143176,145439,147321,148889,150221,151387,152390,153247,154007,154760,155557,156428,157403,158384,159283,160031,160592,161015,161421,161998,162866,164076,165570,167207,168788,170157,171283,172198,172981,173755,174610,175566,176582,177662,178781,179929,181094,182286,183526,184826,186205,187665,189194,190757,192290,193759,195125,196440
San Marino,SMR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60836.7432123453,64697.1458668642,69744.3487561355,70449.0349570552,73438.6502394287,72748.7264217632,74582.2486194762,76998.2117645224,77823.1926048565,79802.9837757215,84457.8594693017,84793.6483103539,73024.1110592341,68758.368617233,61488.7678599557,56116.9536790444,53759.8385038494,52708.0007998042,52476.9701283514,52596.224499382,52932.2795840438
San Marino,SMR,"Population, total",SP.POP.TOTL,15397,15789,16199,16621,17032,17441,17835,18229,18589,18895,19138,19303,19398,19466,19562,19735,19980,20296,20660,21030,21361,21666,21943,22210,22455,22708,22961,23210,23466,23740,24043,24386,24749,25141,25516,25877,26209,26508,26799,27096,27418,27762,28121,28494,28866,29240,29614,29977,30351,30723,31110,31504,31914,32303,32657,32960,33203,33400
Sao Tome and Principe,STP,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,862.903367655779,863.494054169944,898.652802686238,911.005601892287,952.679773601158,1015.39539152846,1024.17905961536,1082.71488218673,1083.66427087711,1129.75496146547,1152.8997798885,1162.53739656703,1191.43677480556,1241.45936839771,1260.62750708797,1284.68839129844,1305.62191401799
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,64253,64551,64432,64177,64212,64796,66063,67873,70046,72241,74253,75988,77537,79022,80670,82607,84885,87434,90089,92649,94949,96950,98706,100318,101915,103634,105474,107415,109470,111627,113893,116294,118816,121407,123973,126454,128821,131107,133418,135886,138606,141622,144889,148372,151969,155630,159328,163101,166913,170813,174776,178800,182889,187045,191266,195553,199910,204327
Saudi Arabia,SAU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,14253.525051697,14541.5374021275,22133.9049242035,25517.1841353502,29931.4707146121,35393.5835661149,39125.4456241907,33860.391586526,37905.1189633422,38557.2148870784,34657.4308405071,36676.5798166759,36518.0450168757,34979.3485018947,26017.9618805561,20512.7843486214,18427.0047393798,15734.7373699196,17509.0588255314,15608.7527093434,16921.5486858887,16194.5142988576,18002.7387272615,20040.4957041795,20226.8542212626,19413.7829327585,19041.0583983076,18648.8568670781,18744.7805145329,18588.3043453831,18763.5859281919,17690.917568779,18263.2300818186,17585.390454968,16619.4346590337,17954.9497936841,18822.7300411973,19309.3120670672,19304.5502317946,19136.1592335417,19792.7203836535,18861.1099983952,19259.5872568465,20575.4979506353,21056.3471472209,21005.0121226588,21183.4648875212,21507.9556933289,21380.4527228189,20796.319460318
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,4086539,4218879,4362864,4516659,4677404,4843635,5015204,5194846,5387486,5599628,5836389,6100994,6393894,6714095,7059334,7428703,7818613,8231604,8679840,9179621,9740599,10366661,11048080,11763837,12484967,13189115,13869012,14525660,15155223,15755944,16326815,16867829,17378833,17859750,18311090,18735841,19131578,19505576,19882458,20294406,20764312,21303592,21906308,22556425,23228890,23905654,24578301,25252569,25940770,26661492,27425676,28238020,29086357,29944476,30776722,31557144,32275687,32938213
Senegal,SEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1080.32335266768,1082.76521449674,1052.05546113865,1042.4664108549,1053.14098821707,1037.45130144857,1037.34521831478,995.777704970755,1028.27697557523,933.143935855408,983.378030611951,952.693778490357,982.898872203006,900.30066451622,911.181256675267,953.273194965748,1011.97332684271,961.127308069963,901.289618351499,940.879577629889,886.219353433314,905.611483867665,948.640102493248,871.548107987465,877.046539191081,878.547412245902,878.60929060664,904.065967380529,871.64240232909,879.030900325112,846.85880737083,842.409326186077,827.378247022834,813.575966058157,790.499966787031,810.574264426492,805.924535983828,810.998708016398,838.605618634695,870.897295726099,877.00225326756,894.511597244125,877.648151016818,912.250511988597,940.686920955371,967.498720282715,965.109502555181,985.749913663126,994.380234160806,990.320872199534,1002.52994032218,990.680473308221,1003.9915250022,1008.02403859158,1018.39274765938,1052.95881981747,1092.25116227774,1134.0822404205
Senegal,SEN,"Population, total",SP.POP.TOTL,3206749,3295293,3386863,3481745,3580312,3682876,3789211,3899237,4013539,4132844,4257505,4388458,4525114,4664444,4802348,4936209,5064674,5189539,5315265,5448110,5592646,5750338,5920059,6100495,6289327,6484738,6686159,6893896,7107976,7328600,7555617,7789653,8029725,8272170,8512173,8746606,8974077,9196528,9418393,9645957,9884052,10134497,10396861,10670990,10955944,11251266,11556763,11873557,12203957,12550917,12916229,13300910,13703513,14120320,14546111,14976994,15411614,15850567
